symbol,name,asset_type,exchange,currency,country,sector,industry,data_provider,notes
A,Agilent Technologies,stock,NYSE,USD,USA,Healthcare,Life Sciences,alpha_vantage,Extended stock
AAL,American Airlines,stock,NASDAQ,USD,USA,Industrials,Airlines,alpha_vantage,Extended stock
AEP,American Electric Power,stock,NASDAQ,USD,USA,Utilities,Electric Utilities,alpha_vantage,Extended stock
AFL,Aflac,stock,NYSE,USD,USA,Financials,Insurance,alpha_vantage,Extended stock
AIG,American International Group,stock,NYSE,USD,USA,Financials,Insurance,alpha_vantage,Extended stock
AJG,Arthur J. Gallagher,stock,NYSE,USD,USA,Financials,Insurance Brokers,alpha_vantage,Extended stock
ALGN,Align Technology,stock,NASDAQ,USD,USA,Healthcare,Medical Devices,alpha_vantage,Extended stock
AMAT,Applied Materials,stock,NASDAQ,USD,USA,Technology,Semiconductor Equipment,alpha_vantage,Extended stock
AMP,Ameriprise Financial,stock,NYSE,USD,USA,Financials,Asset Management,alpha_vantage,Extended stock
AMT,American Tower,stock,NYSE,USD,USA,Real Estate,Telecom REIT,alpha_vantage,Extended stock
ANET,Arista Networks,stock,NYSE,USD,USA,Technology,Networking,alpha_vantage,Extended stock
ANSS,Ansys,stock,NASDAQ,USD,USA,Technology,Engineering Software,alpha_vantage,Extended stock
AON,Aon,stock,NYSE,USD,Ireland,Financials,Insurance Brokers,alpha_vantage,Extended stock
APD,Air Products and Chemicals,stock,NYSE,USD,USA,Materials,Industrial Gases,alpha_vantage,Extended stock
APH,Amphenol,stock,NYSE,USD,USA,Technology,Electronic Components,alpha_vantage,Extended stock
APTV,Aptiv,stock,NYSE,USD,Ireland,Consumer Discretionary,Auto Parts,alpha_vantage,Extended stock
ARE,Alexandria Real Estate Equities,stock,NYSE,USD,USA,Real Estate,Healthcare REIT,alpha_vantage,Extended stock
ASML,ASML Holding,stock,NASDAQ,USD,Netherlands,Technology,Semiconductor Equipment,alpha_vantage,Extended ADR
AZN,AstraZeneca,stock,NASDAQ,USD,United Kingdom,Healthcare,Pharmaceuticals,alpha_vantage,Extended ADR
BA,Boeing,stock,NYSE,USD,USA,Industrials,Aerospace,alpha_vantage,Extended stock
BDX,Becton Dickinson,stock,NYSE,USD,USA,Healthcare,Medical Devices,alpha_vantage,Extended stock
BIIB,Biogen,stock,NASDAQ,USD,USA,Healthcare,Biotechnology,alpha_vantage,Extended stock
BK,Bank of New York Mellon,stock,NYSE,USD,USA,Financials,Custody Banks,alpha_vantage,Extended stock
BKNG,Booking Holdings,stock,NASDAQ,USD,USA,Consumer Discretionary,Travel Platforms,alpha_vantage,Extended stock
BLK,BlackRock,stock,NYSE,USD,USA,Financials,Asset Management,alpha_vantage,Extended stock
BMY,Bristol Myers Squibb,stock,NYSE,USD,USA,Healthcare,Pharmaceuticals,alpha_vantage,Extended stock
BSX,Boston Scientific,stock,NYSE,USD,USA,Healthcare,Medical Devices,alpha_vantage,Extended stock
C,Citigroup,stock,NYSE,USD,USA,Financials,Banks,alpha_vantage,Extended stock
CAT,Caterpillar,stock,NYSE,USD,USA,Industrials,Machinery,alpha_vantage,Extended stock
CDNS,Cadence Design Systems,stock,NASDAQ,USD,USA,Technology,EDA Software,alpha_vantage,Extended stock
CEG,Constellation Energy,stock,NASDAQ,USD,USA,Utilities,Electric Utilities,alpha_vantage,Extended stock
CI,Cigna Group,stock,NYSE,USD,USA,Healthcare,Managed Care,alpha_vantage,Extended stock
CL,Colgate-Palmolive,stock,NYSE,USD,USA,Consumer Staples,Household Products,alpha_vantage,Extended stock
CMCSA,Comcast,stock,NASDAQ,USD,USA,Communication Services,Cable Media,alpha_vantage,Extended stock
CME,CME Group,stock,NASDAQ,USD,USA,Financials,Exchanges,alpha_vantage,Extended stock
CMG,Chipotle Mexican Grill,stock,NYSE,USD,USA,Consumer Discretionary,Restaurants,alpha_vantage,Extended stock
CMI,Cummins,stock,NYSE,USD,USA,Industrials,Engines,alpha_vantage,Extended stock
CNC,Centene,stock,NYSE,USD,USA,Healthcare,Managed Care,alpha_vantage,Extended stock
COF,Capital One Financial,stock,NYSE,USD,USA,Financials,Consumer Finance,alpha_vantage,Extended stock
COP,ConocoPhillips,stock,NYSE,USD,USA,Energy,Exploration Production,alpha_vantage,Extended stock
COR,Cencora,stock,NYSE,USD,USA,Healthcare,Healthcare Distribution,alpha_vantage,Extended stock
CPB,Campbell Soup,stock,NASDAQ,USD,USA,Consumer Staples,Packaged Foods,alpha_vantage,Extended stock
CPAY,Corpay,stock,NYSE,USD,USA,Financials,Payments,alpha_vantage,Extended stock
CRWD,CrowdStrike,stock,NASDAQ,USD,USA,Technology,Cybersecurity,alpha_vantage,Extended stock
CSX,CSX,stock,NASDAQ,USD,USA,Industrials,Railroads,alpha_vantage,Extended stock
